date,home_price_index,new_permits,housing_starts,housing_completions,months_supply,new_home_sales,mortgage_rate,construction_ppi,rent_cpi
2000-01-01,100,1727,1636,1574,4.3,873,8.06,144.1,180.9
2000-02-01,100.571,1692,1737,1677,4.3,856,8.25,144.7,181.3
2000-03-01,101.466,1651,1604,1704,4.3,900,8.31,145.4,181.9
2000-04-01,102.54,1597,1626,1610,4.4,841,8.23,145.6,182.3
2000-05-01,103.701,1543,1575,1682,4.4,857,8.13,144.9,182.8
2000-06-01,104.856,1572,1559,1530,4.8,793,8.62,145,183.4
2000-07-01,105.723,1542,1463,1495,4.1,887,8.22,144.4,184.1
2000-08-01,106.523,1552,1541,1573,4.4,848,8.13,143.7,184.8
2000-09-01,107.137,1570,1507,1528,4,912,7.96,143.4,185.4
2000-10-01,107.73,1577,1549,1513,4,933,7.88,143.3,186.1
2000-11-01,108.292,1614,1551,1539,4.2,880,7.68,142.7,186.7
2000-12-01,108.792,1543,1532,1521,3.6,983,7.65,142.5,187.4
2001-01-01,109.215,1699,1600,1456,3.8,936,7.13,142,188
2001-02-01,109.643,1656,1625,1536,3.7,963,7.15,142.4,188.7
2001-03-01,110.394,1659,1590,1470,3.8,939,7.12,142.4,189.5
2001-04-01,111.247,1666,1649,1574,3.9,909,6.91,142.5,190.2
2001-05-01,112.202,1665,1605,1497,4,885,7.12,144.2,191.1
2001-06-01,113.272,1626,1636,1654,4.2,882,7.24,144.3,191.8
2001-07-01,114.228,1598,1670,1582,4.2,880,7.11,143.4,192.5
2001-08-01,114.989,1615,1567,1615,4.4,866,7.03,143.3,193.2
2001-09-01,115.466,1565,1562,1551,4.4,853,6.92,143,194
2001-10-01,115.681,1566,1540,1599,4.3,871,6.72,142.3,194.7
2001-11-01,115.838,1651,1602,1555,4.1,924,6.64,142.1,195.4
2001-12-01,116.055,1680,1568,1693,3.8,979,7.02,141.7,196.2
2002-01-01,116.437,1665,1698,1632,4.2,880,7.16,142,196.8
2002-02-01,116.917,1787,1829,1671,4,948,7.02,142.2,197.5
2002-03-01,117.93,1691,1642,1559,4.1,923,6.8,143.2,198.1
2002-04-01,119.209,1669,1592,1625,4.3,936,7.18,143.5,198.5
2002-05-01,120.789,1716,1764,1705,4,978,6.88,143.8,198.9
2002-06-01,122.334,1758,1717,1589,4.2,957,6.76,144.3,199.5
2002-07-01,123.688,1738,1655,1615,4.2,956,6.55,144.7,200
2002-08-01,124.731,1695,1633,1722,4,1014,6.34,145.1,200.3
2002-09-01,125.495,1803,1804,1641,3.9,1044,6.22,145.4,200.8
2002-10-01,126.138,1799,1648,1601,4,1006,5.99,145,201.3
2002-11-01,126.644,1771,1753,1718,4,1024,6.13,144.6,201.9
2002-12-01,127.152,1896,1788,1671,4,1048,6.13,144.3,202.4
2003-01-01,127.653,1808,1853,1654,4,999,5.93,144.4,203.2
2003-02-01,128.326,1854,1629,1688,4.5,936,5.9,145.2,203.5
2003-03-01,129.308,1757,1726,1638,4.1,999,5.79,145.2,204
2003-04-01,130.488,1803,1643,1662,4.1,1012,5.91,145.9,204.5
2003-05-01,131.839,1835,1751,1733,3.9,1078,5.79,145.8,205
2003-06-01,133.225,1875,1867,1641,3.5,1193,5.31,146.1,205.3
2003-07-01,134.647,1885,1897,1680,3.6,1168,5.24,147,205.8
2003-08-01,135.966,1966,1833,1570,3.5,1206,6.14,147.2,206.2
2003-09-01,137.077,1961,1939,1719,3.8,1131,6.32,149,206.7
2003-10-01,137.977,2012,1967,1728,3.8,1144,5.98,149.6,206.9
2003-11-01,138.766,1918,2083,1692,4.1,1093,5.94,150.2,207.4
2003-12-01,139.629,1987,2057,1716,4,1129,5.89,149.7,207.7
2004-01-01,140.706,1952,1911,1709,3.8,1165,5.85,150,208.1
2004-02-01,142.028,1966,1846,1718,3.7,1159,5.68,153.4,208.6
2004-03-01,144.079,2066,1998,1794,3.6,1276,5.58,156.5,209.1
2004-04-01,146.18,2070,2003,1938,4,1186,5.52,160.1,209.7
2004-05-01,148.335,2150,1981,1893,3.8,1241,6.01,162.7,210.3
2004-06-01,150.519,2020,1828,1857,3.9,1180,6.32,162,210.9
2004-07-01,152.338,2112,2002,1881,4.5,1088,6.21,162.2,211.4
2004-08-01,153.814,2056,2024,1911,4.3,1175,6.08,165.9,212
2004-09-01,155.108,2041,1905,1796,4.1,1214,5.82,167.2,212.5
2004-10-01,156.298,2097,2072,1839,3.9,1305,5.72,165.9,212.8
2004-11-01,157.495,2079,1782,1758,4.3,1179,5.64,165.5,213.1
2004-12-01,158.669,2082,2042,1921,4.1,1242,5.72,166.3,213.7
2005-01-01,160.13,2139,2144,1892,4.4,1203,5.81,168.6,214.3
2005-02-01,161.925,2114,2207,1908,4.3,1319,5.66,170.4,214.9
2005-03-01,164.578,2062,1864,1787,4.1,1328,5.69,170,215.4
2005-04-01,167.001,2150,2061,1927,4.3,1260,6.04,170,216
2005-05-01,169.546,2085,2025,2103,4.2,1286,5.78,168.1,216.5
2005-06-01,172.017,2178,2068,1965,4.3,1274,5.65,167.8,217
2005-07-01,174.099,2203,2054,1886,4.2,1389,5.53,167.2,217.7
2005-08-01,175.925,2219,2095,1952,4.5,1255,5.77,165.9,218.1
2005-09-01,177.613,2263,2151,1922,4.7,1244,5.71,168.9,218.7
2005-10-01,178.754,2170,2065,1962,4.5,1336,5.91,171.6,219.3
2005-11-01,179.676,2218,2147,1907,5,1214,6.15,172.7,219.9
2005-12-01,180.109,2120,1994,1941,4.9,1239,6.26,173.5,220.3
2006-01-01,180.828,2212,2273,2036,5.3,1174,6.22,177.2,220.8
2006-02-01,181.499,2141,2119,2048,6.1,1061,6.12,177.7,221.5
2006-03-01,182.748,2118,1969,2245,5.9,1116,6.26,178.3,222.2
2006-04-01,183.648,1998,1821,2071,6.3,1123,6.35,179,222.9
2006-05-01,184.38,1905,1942,1897,6.2,1086,6.58,179.9,223.7
2006-06-01,184.547,1867,1802,2050,6.3,1074,6.67,180.7,224.6
2006-07-01,184.607,1763,1737,1934,7.3,965,6.78,182.3,225.4
2006-08-01,184.404,1722,1650,1877,6.7,1035,6.72,182.6,226.3
2006-09-01,184.198,1655,1720,2011,6.7,1016,6.44,183.3,227.2
2006-10-01,184.054,1570,1491,1918,7.3,941,6.31,182.3,228
2006-11-01,183.631,1535,1570,1893,6.6,1003,6.4,179.8,228.8
2006-12-01,183.228,1638,1649,1888,6.5,998,6.14,179.8,229.8
2007-01-01,182.717,1626,1409,1822,7.2,891,6.18,181.1,230.547
2007-02-01,182.469,1598,1480,1640,7.9,828,6.34,181.5,231.546
2007-03-01,182.191,1596,1495,1623,7.9,833,6.18,182.5,232.349
2007-04-01,182.129,1470,1490,1539,7.4,887,6.16,183.7,232.96
2007-05-01,181.883,1493,1415,1536,7.8,842,6.16,184,233.656
2007-06-01,181.539,1407,1448,1481,8.2,793,6.42,184,234.283
2007-07-01,180.993,1361,1354,1534,8.3,778,6.67,184.2,234.996
2007-08-01,180.234,1321,1330,1512,9.2,699,6.69,183.9,235.524
2007-09-01,179.122,1261,1183,1356,9.2,686,6.45,183.4,236.239
2007-10-01,177.529,1192,1264,1405,8.5,727,6.42,183,237.18
2007-11-01,175.161,1224,1197,1390,9.4,641,6.26,183.3,238.063
2007-12-01,173.337,1149,1037,1328,9.6,619,6.1,183.5,238.873
2008-01-01,171.076,1094,1084,1331,9.3,627,6.17,184.3,239.517
2008-02-01,169.189,1014,1103,1274,9.7,593,5.68,185.7,240.08
2008-03-01,167.9,967,1005,1195,10.5,535,6.24,187.8,240.68
2008-04-01,167.317,1008,1013,1022,10.3,536,5.85,190.9,241.437
2008-05-01,167.014,995,973,1142,10.7,504,6.06,195.8,241.927
2008-06-01,166.533,1180,1046,1142,10.7,487,6.08,200.4,242.882
2008-07-01,165.711,921,923,1087,10.5,477,6.45,203.4,243.675
2008-08-01,164.277,858,844,1017,11.3,435,6.52,206.5,244.475
2008-09-01,161.911,797,820,1160,10.9,433,6.4,206.3,245.175
2008-10-01,159.162,736,777,1055,11.6,393,6.09,201.8,245.914
2008-11-01,156.071,626,652,1076,11.4,389,6.46,199.6,246.556
2008-12-01,152.543,554,560,1021,11.2,377,5.97,194.8,246.992
2009-01-01,149.361,545,490,777,12.2,336,5.1,193.3,247.563
2009-02-01,147.616,558,582,819,10.5,372,5.1,191.2,247.994
2009-03-01,146.513,513,505,839,11,339,5.07,190.2,248.396
2009-04-01,146.941,521,478,846,10.7,337,4.85,188.1,248.837
2009-05-01,148.168,556,540,818,9.3,376,4.78,186.9,249.204
2009-06-01,149.795,601,585,797,8.5,393,4.91,187.1,249.381
2009-07-01,150.747,595,594,797,7.9,411,5.42,187.6,249.343
2009-08-01,150.667,616,586,792,7.5,418,5.25,188.1,249.359
2009-09-01,149.626,609,585,721,7.8,386,5.14,189.3,249.261
2009-10-01,148.582,583,534,746,7.4,396,4.94,189.7,248.959
2009-11-01,147.937,623,588,844,7.6,375,5.03,189.2,248.778
2009-12-01,146.665,664,581,750,8,352,4.78,189.4,248.667
2010-01-01,145.003,636,614,689,8.1,345,5.14,190.3,248.721
2010-02-01,143.056,650,604,670,8.3,336,4.98,192.2,248.717
2010-03-01,143.596,687,636,635,7.1,381,5.05,193.7,248.854
2010-04-01,145.398,637,687,737,6.2,422,5.08,196.5,248.962
2010-05-01,147.031,575,583,702,9.3,280,5.06,198.9,249.066
2010-06-01,147.697,587,536,894,8.3,305,4.78,197.2,249.327
2010-07-01,147.559,579,546,572,8.9,283,4.58,195.6,249.458
2010-08-01,146.425,580,599,592,8.8,282,4.54,194.1,249.346
2010-09-01,144.606,563,594,632,7.6,317,4.36,193.9,249.663
2010-10-01,143.124,558,543,605,8.2,291,4.32,193.8,249.66
2010-11-01,141.811,560,545,552,8.2,287,4.23,193.6,250.182
2010-12-01,140.62,632,539,565,7,326,4.4,194.2,250.641
2011-01-01,139.028,576,630,520,7.3,307,4.86,195.9,251.142
2011-02-01,137.724,542,517,615,8.1,270,4.8,198.1,251.516
2011-03-01,137.778,583,600,591,7.2,300,4.95,199.7,251.905
2011-04-01,139.153,581,554,549,6.7,310,4.86,201.1,252.203
2011-05-01,140.688,618,561,549,6.6,305,4.78,201.6,252.584
2011-06-01,141.941,636,608,579,6.6,301,4.6,201.9,252.986
2011-07-01,142.339,621,623,634,6.7,296,4.51,202.6,253.423
2011-08-01,141.782,647,585,614,6.5,299,4.55,202.8,254.295
2011-09-01,140.161,610,650,603,6.3,304,4.22,202.7,254.895
2011-10-01,138.398,671,610,566,6,316,4.01,202.7,255.651
2011-11-01,136.653,706,711,585,5.7,328,4.1,202.2,256.207
2011-12-01,135.155,697,694,610,5.3,341,4,202.2,256.8
2012-01-01,134.156,712,723,545,5.3,335,3.95,203.9,257.267
2012-02-01,133.986,738,704,561,4.8,366,3.98,205.1,257.842
2012-03-01,135.855,806,695,582,4.9,354,3.9,205.7,258.335
2012-04-01,138.461,732,753,671,4.9,354,3.99,206.3,258.977
2012-05-01,141.037,796,708,626,4.7,370,3.88,206.5,259.481
2012-06-01,143.158,794,757,625,4.8,360,3.75,206.6,259.893
2012-07-01,144.272,849,740,676,4.6,369,3.66,206.2,260.476
2012-08-01,144.695,840,754,684,4.6,375,3.49,205.5,260.999
2012-09-01,144.347,930,847,652,4.5,385,3.59,206.6,261.62
2012-10-01,143.957,887,915,730,4.9,358,3.4,205.5,262.631
2012-11-01,143.95,917,833,668,4.6,392,3.39,205.6,263.137
2012-12-01,143.857,941,976,677,4.5,399,3.32,206.4,263.669
2013-01-01,144.301,940,888,714,4,446,3.35,208.4,264.245
2013-02-01,145.152,980,962,729,4.1,447,3.53,209.1,264.904
2013-03-01,147.952,936,1010,816,4.2,444,3.51,209.8,265.603
2013-04-01,150.961,1012,835,712,4.4,441,3.57,210.7,266.094
2013-05-01,153.851,1003,930,708,4.6,428,3.4,209.5,266.841
2013-06-01,156.417,942,839,736,4.1,470,3.81,208.8,267.451
2013-07-01,158.276,997,880,784,5.5,375,4.46,208.3,267.87
2013-08-01,159.383,964,917,765,5.5,381,4.39,208.9,268.837
2013-09-01,159.663,1004,850,776,5.4,403,4.51,208.9,269.315
2013-10-01,159.55,1044,925,801,4.9,444,4.32,209.3,269.822
2013-11-01,159.361,1029,1100,839,5,446,4.1,209.8,270.387
2013-12-01,159.278,1005,1002,778,5.2,433,4.29,209.8,271.22
2014-01-01,159.364,976,888,838,5.1,443,4.48,211.7,271.918
2014-02-01,159.865,1039,944,876,5.3,420,4.32,212.7,272.461
2014-03-01,161.178,1067,970,893,5.6,405,4.37,213.4,273.341
2014-04-01,162.954,1090,1043,834,5.7,403,4.4,213.6,274.255
2014-05-01,164.667,1018,1007,891,5.2,451,4.29,214.3,275.013
2014-06-01,166.197,1010,911,800,5.7,418,4.12,214.5,275.819
2014-07-01,167.122,1076,1085,839,6.2,402,4.14,214.8,276.663
2014-08-01,167.437,1047,984,908,5.4,456,4.12,215.5,277.319
2014-09-01,167.228,1077,1023,975,5.4,470,4.1,215.7,278.149
2014-10-01,166.896,1094,1074,920,5.3,476,4.2,215.9,278.797
2014-11-01,166.644,1059,1001,863,5.7,442,3.98,215.8,279.758
2014-12-01,166.445,1072,1073,955,5.1,497,3.97,215.5,280.383
2015-01-01,166.23,1049,1085,954,4.8,515,3.87,215.8,281.223
2015-02-01,166.609,1127,886,863,4.5,540,3.66,215.3,282.171
2015-03-01,168.068,1072,960,781,5.1,480,3.8,215,283.056
2015-04-01,169.953,1166,1190,1001,4.9,502,3.69,214.5,283.786
2015-05-01,171.835,1272,1079,1012,5,502,3.68,213.7,284.559
2015-06-01,173.434,1379,1205,962,5.4,480,3.87,213.7,285.477
2015-07-01,174.477,1140,1146,988,5.2,506,4.02,213.7,286.435
2015-08-01,174.916,1165,1130,974,5,518,3.98,213.3,287.32
2015-09-01,175.021,1144,1224,1040,5.9,456,3.84,212.5,288.385
2015-10-01,175.025,1160,1058,985,5.6,482,3.85,212.4,289.236
2015-11-01,175.115,1244,1172,1000,5.5,504,3.76,211.7,289.953
2015-12-01,175.088,1211,1146,1023,5.1,546,3.95,210.9,290.723
2016-01-01,175.011,1171,1092,1056,5.6,505,4.01,211.4,291.7
2016-02-01,175.259,1172,1225,1037,5.5,517,3.79,211.3,292.617
2016-03-01,176.582,1118,1111,1003,5.5,532,3.62,211.6,293.471
2016-04-01,178.478,1160,1163,945,5,576,3.71,212.7,294.397
2016-05-01,180.327,1205,1148,1000,5.1,571,3.66,213.7,295.371
2016-06-01,181.899,1208,1203,1109,5.3,557,3.64,214.6,296.306
2016-07-01,183.002,1198,1239,1072,4.5,628,3.48,215.3,297.192
2016-08-01,183.64,1201,1171,1054,5,575,3.48,216,298.029
2016-09-01,183.926,1303,1068,1035,5.2,558,3.46,215.3,299.035
2016-10-01,183.995,1254,1313,1070,5.2,575,3.42,214.8,300.215
2016-11-01,184.205,1230,1140,1244,5.2,571,3.47,214.5,301.223
2016-12-01,184.377,1248,1252,1101,5.4,561,4.08,215.5,302.271
2017-01-01,184.63,1303,1190,1081,5.4,573,4.32,217.3,303.156
2017-02-01,184.997,1234,1271,1148,5.3,587,4.19,218.8,304.06
2017-03-01,186.507,1272,1190,1147,5,632,4.16,219.7,304.888
2017-04-01,188.522,1251,1146,1069,5.4,598,4.14,221,305.692
2017-05-01,190.517,1208,1157,1170,5.1,635,4.03,221.7,306.72
2017-06-01,192.243,1353,1249,1236,5.3,619,3.94,221.9,307.681
2017-07-01,193.487,1256,1206,1173,5.8,572,3.88,221.9,308.49
2017-08-01,194.32,1319,1159,1107,6.1,556,3.92,222.4,309.608
2017-09-01,194.788,1273,1181,1113,5.3,637,3.82,223.1,310.346
2017-10-01,195.052,1356,1257,1196,5.5,626,3.83,223.9,311.33
2017-11-01,195.416,1299,1273,1182,4.8,711,3.94,223.9,312.295
2017-12-01,195.811,1311,1177,1200,5.6,630,3.9,224.1,313.462
2018-01-01,196.083,1317,1299,1208,6,590,3.99,225.8,314.531
2018-02-01,196.875,1321,1277,1288,5.7,618,4.22,228.7,315.162
2018-03-01,198.542,1385,1318,1181,5.2,679,4.43,231.3,315.885
2018-04-01,200.581,1378,1276,1224,5.6,642,4.44,232.4,316.96
2018-05-01,202.418,1338,1357,1262,5.5,662,4.58,236.8,317.766
2018-06-01,204.01,1345,1192,1212,5.8,636,4.56,239.2,318.607
2018-07-01,204.919,1334,1208,1150,6,628,4.55,239.6,319.642
2018-08-01,205.297,1273,1288,1262,6.5,593,4.54,239.4,320.86
2018-09-01,205.343,1314,1250,1187,6.6,595,4.52,240,321.563
2018-10-01,205.339,1272,1221,1122,7.2,554,4.72,238.7,322.447
2018-11-01,205.076,1340,1181,1131,6.4,625,4.83,238.8,323.633
2018-12-01,204.666,1317,1095,1053,7.6,546,4.81,238.3,324.408
2019-01-01,204.168,1254,1226,1247,7,595,4.55,238.5,325.314
2019-02-01,204.394,1286,1121,1304,6.3,648,4.46,238.1,326.22
2019-03-01,205.741,1295,1191,1313,5.6,718,4.35,238.1,327.539
2019-04-01,207.654,1322,1272,1308,5.7,702,4.06,237.2,328.816
2019-05-01,209.317,1347,1293,1221,6.5,618,4.2,237.3,329.617
2019-06-01,210.551,1299,1243,1178,5.4,729,3.99,236.3,330.919
2019-07-01,211.302,1379,1240,1215,6.1,648,3.73,235.6,331.935
2019-08-01,211.66,1482,1375,1313,5.5,712,3.75,234.4,332.781
2019-09-01,211.839,1469,1311,1154,5.4,712,3.58,234.4,333.92
2019-10-01,211.934,1523,1325,1289,5.3,722,3.64,233.8,334.558
2019-11-01,212.074,1535,1353,1266,5.4,713,3.78,232.8,335.484
2019-12-01,212.205,1443,1548,1308,5.5,700,3.68,232.2,336.418
2020-01-01,212.363,1495,1581,1308,5.7,689,3.74,233.4,337.591
2020-02-01,213.181,1455,1549,1237,5.6,707,3.51,234.6,338.489
2020-03-01,215.157,1346,1266,1237,6.4,626,3.45,236.3,339.502
2020-04-01,217.204,1076,936,1181,6.8,576,3.5,234.3,340.225
2020-05-01,218.452,1250,1039,1174,5.3,707,3.23,233.3,341.007
2020-06-01,219.778,1334,1266,1229,4,901,3.15,234.8,341.524
2020-07-01,221.533,1546,1526,1309,3.5,981,3.13,237,342.312
2020-08-01,224.012,1533,1396,1263,3.4,1016,2.99,240.9,342.65
2020-09-01,226.762,1636,1473,1437,3.5,979,2.91,246.9,342.986
2020-10-01,229.77,1613,1543,1395,3.3,1031,2.88,246.4,343.502
2020-11-01,232.273,1703,1543,1261,3.9,877,2.81,244.3,343.731
2020-12-01,234.321,1752,1614,1374,4.1,874,2.72,248,344.125
2021-01-01,236.394,1855,1630,1379,4.1,898,2.67,256.4,344.469
2021-02-01,239.175,1711,1404,1299,4.8,778,2.73,264.6,345.073
2021-03-01,244.173,1756,1696,1435,4.3,871,2.97,276.7,345.669
2021-04-01,249.783,1721,1495,1403,4.6,828,3.18,291.8,346.38
2021-05-01,255.407,1703,1589,1337,5.5,725,2.98,305.9,347.23
2021-06-01,261.126,1654,1650,1280,6,695,2.95,315.7,348.091
2021-07-01,265.456,1658,1597,1365,6,726,2.98,313.542,348.889
2021-08-01,268.725,1736,1594,1329,6.6,686,2.8,313.083,349.993
2021-09-01,271.373,1640,1577,1232,6.2,728,2.87,317.136,351.323
2021-10-01,273.577,1707,1579,1300,6.8,684,3.01,322.12,352.757
2021-11-01,275.943,1765,1705,1397,5.9,789,3.14,328.94,354.21
2021-12-01,278.516,1919,1722,1331,5.6,825,3.1,335.032,355.551
2022-01-01,281.895,1920,1702,1285,5.8,807,3.11,345.742,357.396
2022-02-01,287.114,1857,1735,1342,6,788,3.55,343.583,359.395
2022-03-01,294.908,1868,1712,1328,6.8,720,3.89,345.852,361
2022-04-01,301.525,1859,1820,1344,8.3,624,4.67,343.786,363.086
2022-05-01,306.287,1704,1531,1427,8.2,644,5.1,353.015,365.364
2022-06-01,308.082,1737,1551,1369,9.7,549,5.1,349.8,368.231
2022-07-01,306.917,1703,1381,1421,10.6,519,5.7,346.79,370.953
2022-08-01,303.493,1557,1531,1367,8.7,638,5.3,342.753,373.649
2022-09-01,300.326,1600,1488,1433,10.1,552,5.66,336.464,376.648
2022-10-01,298.542,1594,1435,1398,9.7,579,6.7,333.796,379.275
2022-11-01,296.727,1401,1424,1552,9.2,597,7.08,330.369,382.218
2022-12-01,294.22,1410,1308,1396,8.7,621,6.49,326.449,385.182
2023-01-01,292.712,1410,1361,1390,8.1,650,6.42,327.338,387.957
2023-02-01,293.507,1618,1399,1536,8.2,636,6.13,330.532,390.833
2023-03-01,297.428,1480,1377,1495,7.9,651,6.5,331.729,392.795
2023-04-01,301.542,1474,1354,1425,7.7,665,6.32,333.366,395.062
2023-05-01,305.409,1575,1584,1503,6.9,739,6.43,337.473,397.024
2023-06-01,308.369,1464,1421,1464,7.7,674,6.79,337.336,398.968
2023-07-01,310.292,1522,1460,1352,7.3,702,6.71,334.512,400.798
2023-08-01,311.655,1561,1317,1363,8,645,6.81,333.794,402.673
2023-09-01,312.511,1537,1371,1471,7.7,681,7.18,332.098,404.578
2023-10-01,312.863,1528,1368,1394,7.8,681,7.31,328.743,406.513
2023-11-01,312.1,1503,1514,1460,8.8,610,7.79,326.844,408.47
2023-12-01,310.913,1519,1521,1575,8.4,643,7.22,327.644,410.051
